0.718,2013-12-29,nJBEOx,55-6453
0.7638,2017-07-26,aJUcXf,48-2733
0.7819,2013-09-08,kUCcix,48-6740
0.7922,2005-04-24,NNlbVE,69-0874
0.7963,2008-11-24,unluWa,55-5281
0.8508,2015-06-18,wgRiQG,77-8753
0.8533,2019-02-05,MpNNeW,95-4628
0.8823,2008-02-18,CmXoll,94-4710
0.8913,2009-06-24,zKgrhx,72-4635
0.9146,2002-07-05,QaochR,69-3558
0.9252,1994-08-09,RpVJUn,67-5003
0.9332,2016-01-09,PnTwVc,82-5633
0.9413,2018-09-21,AtKvoU,75-1596
0.949,1993-02-27,SeeRKL,83-3699
0.9723,2003-10-05,bdaBbi,57-5072
1.0056,2013-05-24,ZIYgHK,65-8592
1.0122,2020-07-19,VSWSds,90-4143
1.0126,1995-12-07,EtTUEw,77-0312
1.0348,2007-12-17,aKMGIn,67-5435
1.0408,2020-09-28,KQPUTv,72-6830
1.0815,1992-09-17,BTgoEM,83-0430
1.1416,2010-10-11,pegwpc,59-7770
1.1424,2004-10-18,THpkgO,46-3201
1.1579,2016-07-31,ADjtkG,93-2502
1.1816,2006-05-30,RzhACe,57-8697
1.2033,2016-12-23,FrOUus,66-3813
1.2098,1994-02-01,GnXWvX,92-6850
1.2122,2013-01-13,KeeRAv,78-4512
1.2169,2005-12-28,AmKdmj,81-7536
1.2271,2009-09-28,NHnXoC,61-5737
1.2436,1996-09-03,UkvbCt,70-6723
1.2532,2003-03-30,ISWUId,66-6546
1.2829,2009-08-24,TCeLZL,88-3935
1.3069,2007-10-23,BvYhbl,90-2852
1.3114,2005-12-22,KsWIJM,64-8027
1.3295,2009-02-19,VXCKUe,61-3578
1.3389,2009-05-30,rclOPO,61-6453
1.346,2008-01-18,ctESFt,63-4456
1.4175,2020-06-04,tDVRDK,85-0421
1.4324,2006-06-30,iFGDNJ,47-7723
1.4335,1993-06-20,GTMTvp,67-5875
1.4513,2012-07-04,LxABXU,49-6477
1.4545,1991-08-07,DiFKBe,83-9898
1.4634,2014-11-29,KCgNjl,46-9356
1.5189,1994-06-19,fxaMEE,49-3833
1.5215,2019-01-15,tGVshU,98-5383
1.525,2011-08-07,pXsAfe,45-2216
1.5642,2000-08-27,rhxrPk,55-8777
1.5654,2007-07-14,fEXEnd,51-8028
1.5913,2000-11-25,JrwDfM,98-7822
1.5976,1990-02-26,UtPwqd,61-5067
1.5978,2007-01-11,FAMWrQ,61-0114
1.6035,1994-08-26,tkXzDf,88-3930
1.6254,1996-05-05,amXWzl,70-5510
1.6452,2008-07-27,STFwAt,55-1998
1.6713,2009-01-15,dFtotx,87-9387
1.6925,1993-09-21,SfhrSB,85-3107
1.6927,2008-01-17,dSAtSa,56-7974
1.7284,1994-11-08,naeqeW,61-3592
1.7626,1993-07-10,lYXcel,50-9342
1.7995,2010-11-26,ITOwAC,50-5957
1.8014,2000-10-11,ronGLh,63-9641
1.8304,1991-05-01,xWilOW,99-7377
1.8344,2016-10-11,vZEBzZ,70-6806
1.8442,2012-12-17,eVPhRZ,87-8113
1.8597,2017-01-24,aboefP,63-1068
1.8635,1992-11-30,eGdEWo,62-4071
1.8987,2008-12-02,YuGSce,47-4509
1.9804,1995-11-26,nNysVb,61-6469
1.9829,2020-09-05,kawmNs,69-2651
2.003,1991-02-21,mlUxtM,88-0544
2.0554,1995-12-05,BdTRhV,54-8553
2.0581,2008-11-01,WGCVMf,93-8649
2.0863,2005-02-12,AKLWTP,61-9371
2.0908,2004-05-09,lJCecv,56-0688
2.1062,2009-11-22,sKIFHJ,83-3108
2.1784,2011-09-08,IUWuly,93-3650
2.1996,2008-06-27,rqDaYh,52-5288
2.2008,1996-02-01,MUZpfO,95-8599
2.2292,2008-09-26,hhkhBl,56-3631
2.2753,2000-11-04,kIWGZm,81-3635
2.3207,1999-01-01,sXgQad,61-6274
2.3262,2013-05-18,mlKWiN,89-5970
2.3423,2007-08-20,fcdKsU,89-5649
2.348,2003-07-04,WKHIYm,55-1651
2.3912,2011-12-01,kSLatb,62-0446
2.437,2015-07-01,EzVaVn,85-1699
2.4534,2016-03-19,TtRAeN,94-8240
2.48,2000-03-08,qFsGVf,62-9834
2.4805,1994-04-02,VtsKtl,85-7016
2.536,1992-07-06,MOpiij,81-4727
2.5472,1997-12-05,kQDqhk,56-6620
2.5508,2001-05-20,NFTPzF,81-3376
2.5858,1996-05-01,CIOqEB,99-9411
2.6668,2018-12-09,URugAq,79-0824
2.7241,2004-08-08,tRgoYB,77-7449
2.735,2000-07-28,qokioW,81-0671
2.7744,1991-12-12,oMIqKM,84-8488
2.826,1995-05-28,qJEkIp,54-5923
2.8648,1991-03-25,ErWtot,56-2952
